序号,系统时间,时间标识,CAN通道,传输方向,ID号,帧类型,帧格式,长度,数据
52371,="16:32:43.906",0x108EC00,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 03 00 00 00 18 02 00 00 
52372,="16:32:43.906",0x108EC02,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52373,="16:32:43.906",0x108EC03,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E1 00 
52374,="16:32:43.906",0x108EC04,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8B 00 
52375,="16:32:43.906",0x108EC05,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52376,="16:32:43.906",0x108EC06,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52377,="16:32:43.906",0x108EC08,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52378,="16:32:43.906",0x108EC08,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52379,="16:32:43.906",0x108EC09,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52380,="16:32:43.906",0x108EC0C,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52381,="16:32:43.906",0x108EC0D,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 92 00 
52382,="16:32:43.906",0x108EC0F,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 87 FD FF FF 18 02 00 00 
52383,="16:32:43.906",0x108EC10,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 ED 00 
52384,="16:32:43.906",0x108EC11,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52385,="16:32:43.906",0x108EC19,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52386,="16:32:43.906",0x108EC1B,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52387,="16:32:43.906",0x108EC1C,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52388,="16:32:43.906",0x108EC1D,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52389,="16:32:43.906",0x108EC1E,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8C 00 
52390,="16:32:43.906",0x108EC20,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| A8 02 00 00 18 02 00 00 
52391,="16:32:43.906",0x108EC21,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
52392,="16:32:43.906",0x108EC22,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52393,="16:32:43.906",0x108EC23,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52394,="16:32:43.906",0x108EC24,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52395,="16:32:43.906",0x108EC26,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52396,="16:32:43.906",0x108EC27,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52397,="16:32:43.906",0x108EC27,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52398,="16:32:43.906",0x108EC2C,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52399,="16:32:43.906",0x108EC2D,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| FB FF FF FF 18 02 00 00 
52400,="16:32:43.906",0x108EC2E,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E2 00 
52401,="16:32:43.906",0x108EC30,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8B 00 
52402,="16:32:43.906",0x108EC31,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52403,="16:32:43.906",0x108EC37,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52404,="16:32:43.906",0x108EC39,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
52405,="16:32:43.906",0x108EC3A,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52406,="16:32:43.906",0x108EC3B,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52407,="16:32:43.906",0x108EC3C,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 85 00 
52408,="16:32:43.906",0x108EC3D,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| F5 FF FF FF 18 02 00 00 
52409,="16:32:43.906",0x108EC3F,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D7 00 
52410,="16:32:43.906",0x108EC40,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52411,="16:32:43.906",0x108EC41,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52412,="16:32:43.906",0x108EC42,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52413,="16:32:43.906",0x108EC44,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52414,="16:32:43.906",0x108EC45,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52415,="16:32:43.906",0x108EC45,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52416,="16:32:43.906",0x108EC4A,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52417,="16:32:43.906",0x108EC4B,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| BA FE FF FF 18 02 00 00 
52418,="16:32:43.906",0x108EC4C,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DC 00 
52419,="16:32:43.906",0x108EC4D,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 88 00 
52420,="16:32:43.906",0x108EC4E,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52421,="16:32:43.906",0x108EC55,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52422,="16:32:43.906",0x108EC57,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52423,="16:32:43.906",0x108EC58,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52424,="16:32:43.906",0x108EC59,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52425,="16:32:43.906",0x108EC5A,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 0F 00 00 00 18 02 00 00 
52426,="16:32:43.906",0x108EC5C,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 CB 00 
52427,="16:32:43.906",0x108EC5D,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 7D 00 
52428,="16:32:43.906",0x108EC5E,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52429,="16:32:43.906",0x108EC5F,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52430,="16:32:43.906",0x108EC60,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52431,="16:32:43.906",0x108EC62,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52432,="16:32:43.906",0x108EC62,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52433,="16:32:43.906",0x108EC63,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52434,="16:32:43.906",0x108EC67,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52435,="16:32:43.906",0x108EC68,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 5F FF FF FF 18 02 00 00 
52436,="16:32:43.906",0x108EC69,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D4 00 
52437,="16:32:43.906",0x108EC6A,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 82 00 
52438,="16:32:43.906",0x108EC6B,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52439,="16:32:43.906",0x108EC73,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52440,="16:32:43.906",0x108EC75,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52441,="16:32:43.906",0x108EC76,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52442,="16:32:43.906",0x108EC77,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 88 FF FF FF 18 02 00 00 
52443,="16:32:43.906",0x108EC78,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52444,="16:32:43.906",0x108EC79,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 81 00 
52445,="16:32:43.906",0x108EC7B,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D1 00 
52446,="16:32:43.906",0x108EC7C,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52447,="16:32:43.906",0x108EC7D,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52448,="16:32:43.906",0x108EC7E,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52449,="16:32:43.906",0x108EC7F,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52450,="16:32:43.906",0x108EC80,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52451,="16:32:43.906",0x108EC81,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52452,="16:32:43.906",0x108EC83,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52453,="16:32:43.906",0x108EC84,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| C5 FD FF FF 18 02 00 00 
52454,="16:32:43.906",0x108EC85,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E1 00 
52455,="16:32:43.906",0x108EC86,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8B 00 
52456,="16:32:43.906",0x108EC87,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52457,="16:32:43.906",0x108EC91,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52458,="16:32:43.906",0x108EC93,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52459,="16:32:43.906",0x108EC94,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52460,="16:32:43.906",0x108EC95,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52461,="16:32:43.906",0x108EC96,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 88 00 
52462,="16:32:43.906",0x108EC97,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 26 FA FF FF 18 02 00 00 
52463,="16:32:43.906",0x108EC99,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DD 00 
52464,="16:32:43.906",0x108EC9A,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52465,="16:32:43.906",0x108EC9B,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52466,="16:32:43.906",0x108EC9C,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52467,="16:32:43.906",0x108EC9E,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52468,="16:32:43.906",0x108EC9F,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52469,="16:32:43.906",0x108EC9F,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52470,="16:32:43.906",0x108ECA2,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52471,="16:32:43.906",0x108ECA3,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DB 00 
52472,="16:32:43.906",0x108ECA5,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52473,="16:32:43.906",0x108ECA6,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 87 00 
52474,="16:32:43.906",0x108ECA7,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 33 FE FF FF 18 02 00 00 
52475,="16:32:43.906",0x108ECAF,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52476,="16:32:43.906",0x108ECB1,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52477,="16:32:43.906",0x108ECB2,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52478,="16:32:43.906",0x108ECB3,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52479,="16:32:43.906",0x108ECB4,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 90 00 
52480,="16:32:43.906",0x108ECB5,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 14 00 00 00 18 02 00 00 
52481,="16:32:43.906",0x108ECB7,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 EA 00 
52482,="16:32:43.906",0x108ECB8,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52483,="16:32:43.906",0x108ECB9,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52484,="16:32:43.906",0x108ECBA,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52485,="16:32:43.906",0x108ECBC,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52486,="16:32:43.906",0x108ECBD,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52487,="16:32:43.906",0x108ECBD,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52488,="16:32:43.906",0x108ECC1,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52489,="16:32:43.906",0x108ECC3,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 00 00 00 00 18 02 00 00 
52490,="16:32:43.906",0x108ECC4,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D0 00 
52491,="16:32:43.906",0x108ECC5,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 80 00 
52492,="16:32:43.906",0x108ECC6,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52493,="16:32:43.906",0x108ECCD,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52494,="16:32:43.906",0x108ECCE,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
52495,="16:32:43.906",0x108ECD0,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52496,="16:32:43.906",0x108ECD1,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52497,="16:32:43.906",0x108ECD2,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 00 00 00 00 18 02 00 00 
52498,="16:32:43.906",0x108ECD3,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 EF 00 
52499,="16:32:43.906",0x108ECD5,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 93 00 
52500,="16:32:43.906",0x108ECD6,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52501,="16:32:43.906",0x108ECD7,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52502,="16:32:43.906",0x108ECD8,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52503,="16:32:43.906",0x108ECD9,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52504,="16:32:43.906",0x108ECDB,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52505,="16:32:43.906",0x108ECDB,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52506,="16:32:43.906",0x108ECDF,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
52507,="16:32:43.906",0x108ECE0,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8C 00 
52508,="16:32:43.906",0x108ECE1,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 57 05 00 00 18 02 00 00 
52509,="16:32:43.906",0x108ECE2,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
52510,="16:32:43.906",0x108ECE4,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52511,="16:32:43.906",0x108ECEB,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52512,="16:32:43.906",0x108ECEC,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
52513,="16:32:43.906",0x108ECEE,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
52514,="16:32:43.906",0x108ECEF,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
52515,="16:32:43.906",0x108ECF0,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| EB FF FF FF 18 02 00 00 
52516,="16:32:43.906",0x108ECF1,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
52517,="16:32:43.906",0x108ECF3,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52518,="16:32:43.906",0x108ECF4,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52519,="16:32:43.906",0x108ECF5,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52520,="16:32:43.906",0x108ECF6,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52521,="16:32:43.906",0x108ECF7,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52522,="16:32:43.906",0x108ECF8,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52523,="16:32:43.906",0x108ECF9,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52524,="16:32:43.906",0x108ECFA,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52525,="16:32:43.906",0x108ECFC,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| B4 FD FF FF 18 02 00 00 
52526,="16:32:43.906",0x108ECFD,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 CA 00 
52527,="16:32:43.906",0x108ECFE,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 7C 00 
52528,="16:32:43.906",0x108ECFF,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52529,="16:32:43.906",0x108ED09,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52530,="16:32:43.906",0x108ED0A,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FC FF 00 00 
52531,="16:32:43.906",0x108ED0C,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52532,="16:32:43.906",0x108ED0D,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 89 00 
52533,="16:32:43.906",0x108ED0E,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 DF 00 
52534,="16:32:43.906",0x108ED0F,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 39 FF FF FF 18 02 00 00 
52535,="16:32:43.906",0x108ED10,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 21 12 00 00 18 02 00 00 
52536,="16:32:43.906",0x108ED12,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52537,="16:32:43.906",0x108ED13,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52538,="16:32:43.906",0x108ED14,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52539,="16:32:43.906",0x108ED15,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52540,="16:32:43.906",0x108ED16,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52541,="16:32:43.906",0x108ED17,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52542,="16:32:43.906",0x108ED1A,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52543,="16:32:43.906",0x108ED1B,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| AC FF FF FF 18 02 00 00 
52544,="16:32:43.906",0x108ED1C,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 E4 00 
52545,="16:32:43.906",0x108ED1D,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 8C 00 
52546,="16:32:43.906",0x108ED1F,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52547,="16:32:43.906",0x108ED27,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52548,="16:32:43.936",0x108ED28,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
52549,="16:32:43.936",0x108ED2A,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52550,="16:32:43.936",0x108ED2B,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52551,="16:32:43.936",0x108ED2C,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 90 00 
52552,="16:32:43.936",0x108ED2D,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 51 01 00 00 18 02 00 00 
52553,="16:32:43.936",0x108ED2E,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 EA 00 
52554,="16:32:43.936",0x108ED30,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52555,="16:32:43.936",0x108ED31,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52556,="16:32:43.936",0x108ED32,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52557,="16:32:43.936",0x108ED33,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52558,="16:32:43.936",0x108ED35,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52559,="16:32:43.936",0x108ED35,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52560,="16:32:43.936",0x108ED38,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52561,="16:32:43.936",0x108ED39,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D0 00 
52562,="16:32:43.936",0x108ED3A,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 24 12 00 00 18 02 00 00 
52563,="16:32:43.936",0x108ED3C,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 80 00 
52564,="16:32:43.936",0x108ED3D,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| FE 04 00 00 18 02 00 00 
52565,="16:32:43.936",0x108ED45,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52566,="16:32:43.936",0x108ED46,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
52567,="16:32:43.936",0x108ED48,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52568,="16:32:43.936",0x108ED49,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52569,="16:32:43.936",0x108ED4A,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 84 00 
52570,="16:32:43.936",0x108ED4B,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 68 FB FF FF 18 02 00 00 
52571,="16:32:43.936",0x108ED4C,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 D6 00 
52572,="16:32:43.936",0x108ED4E,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52573,="16:32:43.936",0x108ED4F,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 71 60 00 88 00 00 00 
52574,="16:32:43.936",0x108ED50,ch1,接收,0x05FE,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52575,="16:32:43.936",0x108ED51,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 71 60 00 00 00 00 00 
52576,="16:32:43.936",0x108ED53,ch1,接收,0x067F,数据帧,标准帧,0x08,x| 22 40 60 00 0F 00 00 00 
52577,="16:32:43.936",0x108ED53,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52578,="16:32:43.936",0x108ED57,ch1,接收,0x01FE,数据帧,标准帧,0x08,x| 23 12 00 00 18 02 00 00 
52579,="16:32:43.936",0x108ED58,ch1,接收,0x01FF,数据帧,标准帧,0x08,x| 26 FC FF FF 37 02 92 00 
52580,="16:32:43.936",0x108ED59,ch1,接收,0x02FE,数据帧,标准帧,0x08,x| 2B 00 00 00 18 02 00 00 
52581,="16:32:43.936",0x108ED5A,ch1,接收,0x02FF,数据帧,标准帧,0x08,x| 00 00 00 00 37 02 ED 00 
52582,="16:32:43.936",0x108ED5C,ch1,接收,0x05FF,数据帧,标准帧,0x08,x| 60 40 60 00 00 00 00 00 
52583,="16:32:43.936",0x108ED63,ch1,接收,0x0080,数据帧,标准帧,0x01,x| 00 
52584,="16:32:43.936",0x108ED64,ch1,接收,0x067E,数据帧,标准帧,0x08,x| 22 71 60 00 FB FF 00 00 
